domain,resolver,transport,query_time_ms,response_size,status,ip_addresses,error_message,ttl
example.com,Google,DNS-UDP,10.420899954624474,61,success,"104.18.27.120,104.18.26.120",,300
example.com,Google,DNS-UDP,11.95199997164309,61,success,"104.18.26.120,104.18.27.120",,300
google.com,Google,DNS-UDP,55.7620000327006,44,success,142.250.197.78,,51
google.com,Google,DNS-UDP,17.797500011511147,44,success,142.250.199.206,,57
github.com,Google,DNS-UDP,25.060300016775727,44,success,20.205.243.166,,60
github.com,Google,DNS-UDP,13.055199990049005,44,success,20.205.243.166,,60
example.com,Cloudflare,DNS-UDP,34.54629995394498,61,success,"104.18.27.120,104.18.26.120",,194
example.com,Cloudflare,DNS-UDP,16.277099959552288,61,success,"104.18.27.120,104.18.26.120",,231
google.com,Cloudflare,DNS-UDP,6.9818999618291855,124,success,"142.251.179.139,142.251.179.138,142.251.179.102,142.251.179.100,142.251.179.101,142.251.179.113",,284
google.com,Cloudflare,DNS-UDP,11.402199976146221,44,success,142.250.199.206,,258
github.com,Cloudflare,DNS-UDP,5.983099923469126,44,success,20.205.243.166,,60
github.com,Cloudflare,DNS-UDP,7.769499905407429,44,success,20.205.243.166,,24
example.com,Quad9,DNS-UDP,51.856899983249605,61,success,"104.18.26.120,104.18.27.120",,6
example.com,Quad9,DNS-UDP,36.36110003571957,61,success,"104.18.27.120,104.18.26.120",,44
google.com,Quad9,DNS-UDP,38.29100006259978,124,success,"142.251.10.113,142.251.10.138,142.251.10.102,142.251.10.101,142.251.10.100,142.251.10.139",,148
google.com,Quad9,DNS-UDP,36.71659994870424,124,success,"142.251.12.101,142.251.12.139,142.251.12.138,142.251.12.102,142.251.12.100,142.251.12.113",,16
github.com,Quad9,DNS-UDP,44.437099946662784,44,success,20.205.243.166,,1
github.com,Quad9,DNS-UDP,43.62919996492565,44,success,20.205.243.166,,33
example.com,Google,DoT,112.69380000885576,61,success,"104.18.26.120,104.18.27.120",,296
example.com,Google,DoT,104.49239995796233,61,success,"104.18.27.120,104.18.26.120",,286
google.com,Google,DoT,83.48380005918443,44,success,142.250.71.174,,183
google.com,Google,DoT,77.55469996482134,44,success,142.250.197.238,,130
github.com,Google,DoT,96.01410001050681,44,success,20.205.243.166,,60
github.com,Google,DoT,104.97780004516244,44,success,20.205.243.166,,60
example.com,Cloudflare,DoT,120.35770004149526,61,success,"104.18.26.120,104.18.27.120",,137
example.com,Cloudflare,DoT,125.76299998909235,61,success,"104.18.26.120,104.18.27.120",,147
google.com,Cloudflare,DoT,109.08640001434833,44,success,142.250.197.238,,183
google.com,Cloudflare,DoT,110.57629995048046,44,success,142.250.197.142,,69
github.com,Cloudflare,DoT,121.83840002398938,44,success,20.205.243.166,,45
github.com,Cloudflare,DoT,141.1053000483662,44,success,20.205.243.166,,52
example.com,Quad9,DoT,204.80379997752607,61,success,"104.18.26.120,104.18.27.120",,40
example.com,Quad9,DoT,172.55380004644394,61,success,"104.18.27.120,104.18.26.120",,284
google.com,Quad9,DoT,529.6057999366894,124,success,"142.251.10.139,142.251.10.113,142.251.10.138,142.251.10.102,142.251.10.101,142.251.10.100",,144
google.com,Quad9,DoT,174.32729993015528,124,success,"142.251.10.138,142.251.10.113,142.251.10.139,142.251.10.102,142.251.10.101,142.251.10.100",,237
github.com,Quad9,DoT,174.8432000167668,44,success,20.205.243.166,,39
github.com,Quad9,DoT,205.06550010759383,44,success,20.205.243.166,,51
example.com,Google,DoH-POST,76.97429996915162,61,success,"104.18.26.120,104.18.27.120",,291
example.com,Google,DoH-POST,81.4524000743404,61,success,"104.18.27.120,104.18.26.120",,281
google.com,Google,DoH-POST,75.43860003352165,44,success,142.250.197.238,,90
google.com,Google,DoH-POST,44.58609991706908,44,success,142.250.199.206,,49
github.com,Google,DoH-POST,66.22429995331913,44,success,20.205.243.166,,55
github.com,Google,DoH-POST,56.220300029963255,44,success,20.205.243.166,,55
example.com,Cloudflare,DoH-POST,40.11419997550547,61,success,"104.18.27.120,104.18.26.120",,196
example.com,Cloudflare,DoH-POST,52.812399924732745,61,success,"104.18.26.120,104.18.27.120",,57
google.com,Cloudflare,DoH-POST,57.80650000087917,44,success,142.250.71.174,,249
google.com,Cloudflare,DoH-POST,42.587699950672686,44,success,142.250.71.174,,248
github.com,Cloudflare,DoH-POST,71.60690007731318,44,success,20.205.243.166,,38
github.com,Cloudflare,DoH-POST,56.92709994036704,44,success,20.205.243.166,,44
example.com,Quad9,DoH-POST,149.95280001312494,61,success,"104.18.27.120,104.18.26.120",,280
example.com,Quad9,DoH-POST,194.9838000582531,61,success,"104.18.27.120,104.18.26.120",,62
google.com,Quad9,DoH-POST,205.88400005362928,124,success,"142.251.12.100,142.251.12.139,142.251.12.102,142.251.12.138,142.251.12.113,142.251.12.101",,8
google.com,Quad9,DoH-POST,160.52939998917282,124,success,"142.251.12.138,142.251.12.139,142.251.12.113,142.251.12.100,142.251.12.101,142.251.12.102",,163
github.com,Quad9,DoH-POST,142.2131999861449,44,success,20.205.243.166,,5
github.com,Quad9,DoH-POST,129.57129999995232,44,success,20.205.243.166,,35
example.com,AliDNS,DoH-POST,53.18940000142902,72,success,"104.18.26.120,104.18.27.120",,160
example.com,AliDNS,DoH-POST,48.07989997789264,72,success,"104.18.27.120,104.18.26.120",,159
google.com,AliDNS,DoH-POST,75.83270000759512,55,success,142.250.197.142,,130
google.com,AliDNS,DoH-POST,72.50390003900975,55,success,142.250.197.142,,131
github.com,AliDNS,DoH-POST,39.27399998065084,55,success,20.205.243.166,,24
github.com,AliDNS,DoH-POST,52.84300004132092,55,success,20.205.243.166,,24
example.com,Google,DoH-GET,71.72979996539652,61,success,"104.18.27.120,104.18.26.120",,288
example.com,Google,DoH-GET,55.301600019447505,61,success,"104.18.27.120,104.18.26.120",,286
google.com,Google,DoH-GET,75.32029994763434,44,success,142.250.199.206,,45
google.com,Google,DoH-GET,74.23720008227974,44,success,142.250.197.78,,39
github.com,Google,DoH-GET,83.42050004284829,44,success,20.205.243.166,,48
github.com,Google,DoH-GET,105.32970004715025,44,success,20.205.243.166,,50
example.com,Cloudflare,DoH-GET,73.47989990375936,61,success,"104.18.26.120,104.18.27.120",,126
example.com,Cloudflare,DoH-GET,70.77450002543628,61,success,"104.18.26.120,104.18.27.120",,142
google.com,Cloudflare,DoH-GET,60.05880003795028,124,success,"64.233.180.100,64.233.180.138,64.233.180.101,64.233.180.102,64.233.180.113,64.233.180.139",,121
google.com,Cloudflare,DoH-GET,86.33169997483492,44,success,142.250.197.142,,219
github.com,Cloudflare,DoH-GET,72.25780002772808,44,success,140.82.114.3,,44
github.com,Cloudflare,DoH-GET,69.7173000080511,44,success,20.205.243.166,,49
example.com,Quad9,DoH-GET,162.58639993611723,61,success,"104.18.27.120,104.18.26.120",,57
example.com,Quad9,DoH-GET,167.19860001467168,61,success,"104.18.26.120,104.18.27.120",,268
google.com,Quad9,DoH-GET,148.40880001429468,124,success,"142.251.12.100,142.251.12.139,142.251.12.102,142.251.12.138,142.251.12.113,142.251.12.101",,4
